stats
gen	nevals	avg    	std    	min	max
0  	300   	9.65889	13.4794	0  	40 
1  	158   	10.4456	14.429 	0  	42 
2  	173   	10.7978	15.0305	0  	42 
3  	178   	11.2022	15.6552	0  	42 
4  	180   	11.1711	15.7287	0  	42 
5  	175   	11.4922	16.1568	0  	42 
6  	185   	11.5811	16.3362	0  	44 
7  	181   	11.6633	16.4874	0  	44 
8  	170   	11.8933	16.7819	0  	44 
9  	188   	11.7822	16.6311	0  	44 
10 	174   	12.0311	16.9981	0  	44 
11 	183   	12.2033	17.1887	0  	44 
12 	178   	12.2056	17.2798	0  	44 
13 	170   	12.2922	17.4209	0  	44 
14 	189   	12.1544	17.1576	0  	44 
15 	182   	12.0922	17.0994	0  	44 
16 	177   	12.2089	17.2712	0  	44 
17 	188   	12.0144	17.0266	0  	44 
18 	162   	12.43  	17.543 	0  	44 
19 	195   	11.8544	16.8171	0  	44 
20 	175   	12.3033	17.3744	0  	44 
21 	183   	12.18  	17.2072	0  	44 
22 	183   	12.2689	17.3167	0  	44 
23 	193   	11.8522	16.8191	0  	44 
24 	178   	12.2111	17.2729	0  	44 
25 	171   	12.39  	17.5073	0  	44 
26 	173   	12.3644	17.4563	0  	44 
27 	179   	12.2689	17.3511	0  	44 
28 	192   	11.9989	17.0055	0  	44 
29 	182   	12.1089	17.1344	0  	44 
30 	170   	12.2722	17.3608	0  	44 
31 	173   	12.3911	17.5235	0  	44 
32 	175   	12.3078	17.3948	0  	44 
33 	187   	12.2411	17.2927	0  	44 
34 	177   	12.2878	17.39  	0  	44 
35 	174   	12.2411	17.3523	0  	44 
36 	175   	12.1811	17.2578	0  	44 
37 	191   	12.1767	17.1922	0  	44 
38 	172   	12.2256	17.3398	0  	44 
39 	176   	12.2567	17.3377	0  	44 
40 	185   	12.2244	17.2719	0  	44 
Tree
seq3(if_free_turn(fifth_hole, make_strategy_opening_decisions), seq3(empty_leftmost, empty_leftmost, third_hole), seq2(first_hole, fourth_hole))
